"","var","date","values"
"1","confirmed","X2020.02.28",1
"2","confirmed","X2020.02.29",1
"3","confirmed","X2020.03.01",1
"4","confirmed","X2020.03.02",1
"5","confirmed","X2020.03.03",1
"6","confirmed","X2020.03.04",1
"7","confirmed","X2020.03.05",1
"8","confirmed","X2020.03.06",1
"9","confirmed","X2020.03.07",1
"10","confirmed","X2020.03.08",1
"11","confirmed","X2020.03.09",1
"12","confirmed","X2020.03.10",3
"13","confirmed","X2020.03.11",3
"14","confirmed","X2020.03.12",3
"15","confirmed","X2020.03.13",6
"16","confirmed","X2020.03.14",9
"17","confirmed","X2020.03.15",12
"18","confirmed","X2020.03.16",18
"19","confirmed","X2020.03.17",21
"20","recovered","X2020.02.28",0
"21","recovered","X2020.02.29",0
"22","recovered","X2020.03.01",0
"23","recovered","X2020.03.02",0
"24","recovered","X2020.03.03",0
"25","recovered","X2020.03.04",0
"26","recovered","X2020.03.05",0
"27","recovered","X2020.03.06",0
"28","recovered","X2020.03.07",0
"29","recovered","X2020.03.08",0
"30","recovered","X2020.03.09",0
"31","recovered","X2020.03.10",0
"32","recovered","X2020.03.11",0
"33","recovered","X2020.03.12",0
"34","recovered","X2020.03.13",0
"35","recovered","X2020.03.14",1
"36","recovered","X2020.03.15",1
"37","recovered","X2020.03.16",1
"38","recovered","X2020.03.17",1
