"var","NUTS_ID","date","values"
"confirmed","LT011",2020-02-28,0
"confirmed","LT022",2020-02-28,0
"confirmed","LT023",2020-02-28,0
"confirmed","LT025",2020-02-28,0
"confirmed","LT026",2020-02-28,1
"confirmed","LT028",2020-02-28,0
"recovered","LT026",2020-02-28,0
"confirmed","LT011",2020-02-29,0
"confirmed","LT022",2020-02-29,0
"confirmed","LT023",2020-02-29,0
"confirmed","LT025",2020-02-29,0
"confirmed","LT026",2020-02-29,1
"confirmed","LT028",2020-02-29,0
"recovered","LT026",2020-02-29,0
"confirmed","LT011",2020-03-01,0
"confirmed","LT022",2020-03-01,0
"confirmed","LT023",2020-03-01,0
"confirmed","LT025",2020-03-01,0
"confirmed","LT026",2020-03-01,1
"confirmed","LT028",2020-03-01,0
"recovered","LT026",2020-03-01,0
"confirmed","LT011",2020-03-02,0
"confirmed","LT022",2020-03-02,0
"confirmed","LT023",2020-03-02,0
"confirmed","LT025",2020-03-02,0
"confirmed","LT026",2020-03-02,1
"confirmed","LT028",2020-03-02,0
"recovered","LT026",2020-03-02,0
"confirmed","LT011",2020-03-03,0
"confirmed","LT022",2020-03-03,0
"confirmed","LT023",2020-03-03,0
"confirmed","LT025",2020-03-03,0
"confirmed","LT026",2020-03-03,1
"confirmed","LT028",2020-03-03,0
"recovered","LT026",2020-03-03,0
"confirmed","LT011",2020-03-04,0
"confirmed","LT022",2020-03-04,0
"confirmed","LT023",2020-03-04,0
"confirmed","LT025",2020-03-04,0
"confirmed","LT026",2020-03-04,1
"confirmed","LT028",2020-03-04,0
"recovered","LT026",2020-03-04,0
"confirmed","LT011",2020-03-05,0
"confirmed","LT022",2020-03-05,0
"confirmed","LT023",2020-03-05,0
"confirmed","LT025",2020-03-05,0
"confirmed","LT026",2020-03-05,1
"confirmed","LT028",2020-03-05,0
"recovered","LT026",2020-03-05,0
"confirmed","LT011",2020-03-06,0
"confirmed","LT022",2020-03-06,0
"confirmed","LT023",2020-03-06,0
"confirmed","LT025",2020-03-06,0
"confirmed","LT026",2020-03-06,1
"confirmed","LT028",2020-03-06,0
"recovered","LT026",2020-03-06,0
"confirmed","LT011",2020-03-07,0
"confirmed","LT022",2020-03-07,0
"confirmed","LT023",2020-03-07,0
"confirmed","LT025",2020-03-07,0
"confirmed","LT026",2020-03-07,1
"confirmed","LT028",2020-03-07,0
"recovered","LT026",2020-03-07,0
"confirmed","LT011",2020-03-08,0
"confirmed","LT022",2020-03-08,0
"confirmed","LT023",2020-03-08,0
"confirmed","LT025",2020-03-08,0
"confirmed","LT026",2020-03-08,1
"confirmed","LT028",2020-03-08,0
"recovered","LT026",2020-03-08,0
"confirmed","LT011",2020-03-09,0
"confirmed","LT022",2020-03-09,0
"confirmed","LT023",2020-03-09,0
"confirmed","LT025",2020-03-09,0
"confirmed","LT026",2020-03-09,1
"confirmed","LT028",2020-03-09,0
"recovered","LT026",2020-03-09,0
"confirmed","LT011",2020-03-10,0
"confirmed","LT022",2020-03-10,2
"confirmed","LT023",2020-03-10,0
"confirmed","LT025",2020-03-10,0
"confirmed","LT026",2020-03-10,1
"confirmed","LT028",2020-03-10,0
"recovered","LT026",2020-03-10,0
"confirmed","LT011",2020-03-11,0
"confirmed","LT022",2020-03-11,2
"confirmed","LT023",2020-03-11,0
"confirmed","LT025",2020-03-11,0
"confirmed","LT026",2020-03-11,1
"confirmed","LT028",2020-03-11,0
"recovered","LT026",2020-03-11,0
"confirmed","LT011",2020-03-12,0
"confirmed","LT022",2020-03-12,2
"confirmed","LT023",2020-03-12,0
"confirmed","LT025",2020-03-12,0
"confirmed","LT026",2020-03-12,1
"confirmed","LT028",2020-03-12,0
"recovered","LT026",2020-03-12,0
"confirmed","LT011",2020-03-13,1
"confirmed","LT022",2020-03-13,3
"confirmed","LT023",2020-03-13,1
"confirmed","LT025",2020-03-13,0
"confirmed","LT026",2020-03-13,1
"confirmed","LT028",2020-03-13,0
"recovered","LT026",2020-03-13,0
"confirmed","LT011",2020-03-14,2
"confirmed","LT022",2020-03-14,3
"confirmed","LT023",2020-03-14,2
"confirmed","LT025",2020-03-14,1
"confirmed","LT026",2020-03-14,1
"confirmed","LT028",2020-03-14,0
"recovered","LT026",2020-03-14,1
"confirmed","LT011",2020-03-15,4
"confirmed","LT022",2020-03-15,3
"confirmed","LT023",2020-03-15,2
"confirmed","LT025",2020-03-15,1
"confirmed","LT026",2020-03-15,1
"confirmed","LT028",2020-03-15,1
"recovered","LT026",2020-03-15,1
"confirmed","LT011",2020-03-16,8
"confirmed","LT022",2020-03-16,3
"confirmed","LT023",2020-03-16,2
"confirmed","LT025",2020-03-16,2
"confirmed","LT026",2020-03-16,1
"confirmed","LT028",2020-03-16,2
"recovered","LT026",2020-03-16,1
"confirmed","LT011",2020-03-17,9
"confirmed","LT022",2020-03-17,3
"confirmed","LT023",2020-03-17,4
"confirmed","LT025",2020-03-17,2
"confirmed","LT026",2020-03-17,1
"confirmed","LT028",2020-03-17,2
"recovered","LT026",2020-03-17,1
