WHO_C,WHO_changed_1
Afghanistan,Afghanistan
Albania,Albania
Algeria,Algeria
Andorra,Andorra
Antigua and Barbuda,Antigua & Barbuda
Argentina,Argentina
Armenia,Armenia
Aruba,Aruba
Australia,Australia
Austria,Austria
Azerbaijan,Azerbaijan
Bahrain,Bahrain
Bangladesh,Bangladesh
Belarus,Belarus
Belgium,Belgium
Bhutan,Bhutan
Bolivia,Bolivia
Bosnia and Herzegovina,Bosnia & Herzegovina
Brazil,Brazil
Brunei,Brunei
Bulgaria,Bulgaria
Burkina Faso,Burkina Faso
Cambodia,Cambodia
Cameroon,Cameroon
Canada,Canada
Cayman Islands,Cayman Islands
Central African Republic,Central African Republic
Chile,Chile
China,China
Colombia,Colombia
Congo (Brazzaville),Congo - Brazzaville
Congo (Kinshasa),Congo - Kinshasa
Costa Rica,Costa Rica
Cote d'Ivoire,Côte d’Ivoire
Croatia,Croatia
Cruise Ship,NA
Cuba,Cuba
Curacao,Curaçao
Cyprus,Cyprus
Czechia,Czechia
Denmark,Denmark
Dominican Republic,Dominican Republic
Ecuador,Ecuador
Egypt,Egypt
Equatorial Guinea,Equatorial Guinea
Estonia,Estonia
Eswatini,Swaziland
Ethiopia,Ethiopia
Finland,Finland
France,France
Gabon,Gabon
Georgia,Georgia
Germany,Germany
Ghana,Ghana
Greece,Greece
Guadeloupe,Guadeloupe
Guatemala,Guatemala
Guernsey,Guernsey
Guinea,Guinea
Guyana,Guyana
Holy See,Vatican City
Honduras,Honduras
Hungary,Hungary
Iceland,Iceland
India,India
Indonesia,Indonesia
Iran,Iran
Iraq,Iraq
Ireland,Ireland
Israel,Israel
Italy,Italy
Jamaica,Jamaica
Japan,Japan
Jersey,Jersey
Jordan,Jordan
Kazakhstan,Kazakhstan
Kenya,Kenya
"Korea, South",South Korea
Kosovo,Kosovo
Kuwait,Kuwait
Latvia,Latvia
Lebanon,Lebanon
Liechtenstein,Liechtenstein
Lithuania,Lithuania
Luxembourg,Luxembourg
Malaysia,Malaysia
Maldives,Maldives
Malta,Malta
Martinique,Martinique
Mauritania,Mauritania
Mexico,Mexico
Moldova,Moldova
Monaco,Monaco
Mongolia,Mongolia
Morocco,Morocco
Namibia,Namibia
Nepal,Nepal
Netherlands,Netherlands
New Zealand,New Zealand
Nigeria,Nigeria
North Macedonia,Macedonia
Norway,Norway
occupied Palestinian territory,Palestinian Territories
Oman,Oman
Pakistan,Pakistan
Panama,Panama
Paraguay,Paraguay
Peru,Peru
Philippines,Philippines
Poland,Poland
Portugal,Portugal
Qatar,Qatar
Reunion,Réunion
Romania,Romania
Russia,Russia
Rwanda,Rwanda
Saint Lucia,St. Lucia
Saint Vincent and the Grenadines,St. Vincent & Grenadines
San Marino,San Marino
Saudi Arabia,Saudi Arabia
Senegal,Senegal
Serbia,Serbia
Seychelles,Seychelles
Singapore,Singapore
Slovakia,Slovakia
Slovenia,Slovenia
South Africa,South Africa
Spain,Spain
Sri Lanka,Sri Lanka
Sudan,Sudan
Suriname,Suriname
Sweden,Sweden
Switzerland,Switzerland
Taiwan*,Taiwan
Thailand,Thailand
Togo,Togo
Trinidad and Tobago,Trinidad & Tobago
Tunisia,Tunisia
Turkey,Turkey
Ukraine,Ukraine
United Arab Emirates,United Arab Emirates
United Kingdom,United Kingdom
Uruguay,Uruguay
US,United States
Uzbekistan,Uzbekistan
Venezuela,Venezuela
Vietnam,Vietnam
