"","sav_w.name","sav_w.ISO3166.2"
"1","Visagino savivaldybė","LT-59"
"2","Ignalinos rajono savivaldybė","LT-09"
"3","Zarasų rajono savivaldybė","LT-60"
"4","Vilkaviškio rajono savivaldybė","LT-56"
"5","Šakių rajono savivaldybė","LT-41"
"6","Utenos rajono savivaldybė","LT-54"
"7","Švenčionių rajono savivaldybė","LT-49"
"8","Šiaulių miesto savivaldybė","LT-43"
"9","Panevėžio miesto savivaldybė","LT-32"
"10","Elektrėnų savivaldybė","LT-08"
"11","Vilniaus miesto savivaldybė","LT-57"
"12","Marijampolės savivaldybė","LT-25"
"13","Kazlų Rūdos savivaldybė","LT-17"
"14","Kalvarijos savivaldybė","LT-14"
"15","Kauno rajono savivaldybė","LT-16"
"16","Vilniaus rajono savivaldybė","LT-58"
"17","Pagėgių savivaldybė","LT-29"
"18","Molėtų rajono savivaldybė","LT-27"
"19","Anykščių rajono savivaldybė","LT-04"
"20","Klaipėdos miesto savivaldybė","LT-20"
"21","Šalčininkų rajono savivaldybė","LT-42"
"22","Širvintų rajono savivaldybė","LT-47"
"23","Trakų rajono savivaldybė","LT-52"
"24","Palangos miesto savivaldybė","LT-31"
"25","Kretingos rajono savivaldybė","LT-22"
"26","Ukmergės rajono savivaldybė","LT-53"
"27","Panevėžio rajono savivaldybė","LT-33"
"28","Kauno miesto savivaldybė","LT-15"
"29","Druskininkų savivaldybė","LT-07"
"30","Varėnos rajono savivaldybė","LT-55"
"31","Neringos savivaldybė","LT-28"
"32","Lazdijų rajono savivaldybė","LT-24"
"33","Alytaus rajono savivaldybė","LT-03"
"34","Alytaus miesto savivaldybė","LT-02"
"35","Rokiškio rajono savivaldybė","LT-40"
"36","Biržų rajono savivaldybė","LT-06"
"37","Kupiškio rajono savivaldybė","LT-23"
"38","Rietavo savivaldybė","LT-39"
"39","Pasvalio rajono savivaldybė","LT-34"
"40","Šilutės rajono savivaldybė","LT-46"
"41","Skuodo rajono savivaldybė","LT-48"
"42","Klaipėdos rajono savivaldybė","LT-21"
"43","Mažeikių rajono savivaldybė","LT-26"
"44","Pakruojo rajono savivaldybė","LT-30"
"45","Joniškio rajono savivaldybė","LT-11"
"46","Šiaulių rajono savivaldybė","LT-44"
"47","Akmenės rajono savivaldybė","LT-01"
"48","Radviliškio rajono savivaldybė","LT-37"
"49","Kelmės rajono savivaldybė","LT-19"
"50","Prienų rajono savivaldybė","LT-36"
"51","Plungės rajono savivaldybė","LT-35"
"52","Telšių rajono savivaldybė","LT-51"
"53","Jonavos rajono savivaldybė","LT-10"
"54","Raseinių rajono savivaldybė","LT-38"
"55","Tauragės rajono savivaldybė","LT-50"
"56","Kaišiadorių rajono savivaldybė","LT-13"
"57","Šilalės rajono savivaldybė","LT-45"
"58","Kėdainių rajono savivaldybė","LT-18"
"59","Jurbarko rajono savivaldybė","LT-12"
"60","Birštono savivaldybė","LT-05"
